method,path,line,source
POST,/shipstation/createOrder,48575,url_config
POST,/shipstation/importCarriers,48597,url_config
GET,/state,236155,url_config
GET,/store,2920,direct_call
PUT,/store,251446,url_config
GET,/store/businessType,236197,url_config
PUT,/store/configuration,251485,url_config
GET,/store/configuration/list?storeIds={param},251477,url_config
PUT,/store/configuration/storeId/{param},251495,url_config
GET,/store/feature,251472,url_config
GET,/store/governmentStateCategory,251115,url_config
GET,/store/governmentStateCategory/stateId/{param}/governmentCategoryId/{param},251111,url_config
DELETE,/store/governmentStateCategory?id={param},251121,url_config
GET,/store/governmentStateCategory?stateId={param},251106,url_config
GET,/store/msaCategory,251097,url_config
PUT,/store/paymentMode,239932,url_config
GET,/store/paymentMode/v1,239899,url_config
DELETE,/store/paymentMode?paymentModeId={param},239923,url_config
PUT,/store/paymentTerms,251799,url_config
GET,/store/taxClass,251102,url_config
GET,/store/withStoreIds?storeIdList={param},251462,url_config
POST,/support/ticket,241276,url_config
PUT,/system/feature,15208,url_config
GET,/system/feature/module/list,15195,url_config
PUT,/system/feature/module/{param},15201,url_config
GET,/system/feature/options,15222,url_config
DELETE,/tag,40687,url_config
GET,/tag,250051,url_config
PUT,/tag,40662,url_config
GET,/transferOrder,251678,url_config
DELETE,/transferOrder/fulfillment/bulk?storeIds={param},251776,url_config
GET,/transferOrder/fulfillment/history/{param}?storeIds={param},251735,url_config
GET,/transferOrder/fulfillment/unfulfilled/{param}?storeIds={param},251745,url_config
POST,/transferOrder/fulfillment/{param}?storeIds={param},251758,url_config
POST,/transferOrder/fulfillment?storeIds={param},251765,url_config
GET,/transferOrder/{param},251687,url_config
GET,/transferOrderLineItem/byTransferOrderId/{param},251690,url_config
PUT,/user,239283,url_config
PUT,/user/logout-all,239418,url_config
